# Tigges IOI replication prompt set
# Generated: 2026-05-05T20:58:19+00:00
# Seed: 0
# N: 200
# Tokenizer: EleutherAI/pythia-410m-deduped
# Single-token name pool (24): Mary, John, James, Robert, Michael, William, David, Joseph, Thomas, Charles, Christopher, Daniel, Matthew, Anthony, Mark, Donald, Steven, Andrew, Kenneth, George, Joshua, Kevin, Brian, Edward
# Template: 'When {n1} and {n2} went to the {place}, {n3} gave a {obj} to'
# ABBA: n1=A, n2=B, n3=B (positions A B B; answer=A; IO=A, S=B)
# BABA: n1=B, n2=A, n3=B (positions B A B; answer=A; IO=A, S=B)
text	io_name	s_name	place	obj	template_kind	io_token_id	s_token_id
When William and Brian went to the airport, William gave a book to	Brian	William	airport	book	BABA	14468	7252
When George and Andrew went to the store, George gave a drink to	Andrew	George	store	drink	BABA	11116	6086
When Donald and Christopher went to the office, Christopher gave a book to	Donald	Christopher	office	book	ABBA	10053	19717
When John and Anthony went to the hospital, Anthony gave a kiss to	John	Anthony	hospital	kiss	ABBA	2516	16358
When Edward and Michael went to the store, Michael gave a snack to	Edward	Michael	store	snack	ABBA	12824	6277
When Anthony and Kevin went to the house, Anthony gave a drink to	Kevin	Anthony	house	drink	BABA	15273	16358
When Mary and David went to the store, Mary gave a kiss to	David	Mary	store	kiss	BABA	5119	6393
When David and Robert went to the hospital, Robert gave a bone to	David	Robert	hospital	bone	ABBA	5119	6911
When Brian and Thomas went to the school, Brian gave a kiss to	Thomas	Brian	school	kiss	BABA	7195	14468
When Matthew and Donald went to the restaurant, Matthew gave a drink to	Donald	Matthew	restaurant	drink	BABA	10053	18322
When Thomas and Mark went to the restaurant, Mark gave a bone to	Thomas	Mark	restaurant	bone	ABBA	7195	4744
When Michael and Joshua went to the house, Joshua gave a kiss to	Michael	Joshua	house	kiss	ABBA	6277	29092
When Thomas and Michael went to the store, Thomas gave a drink to	Michael	Thomas	store	drink	BABA	6277	7195
When David and John went to the office, David gave a ring to	John	David	office	ring	BABA	2516	5119
When Daniel and Kenneth went to the store, Kenneth gave a book to	Daniel	Kenneth	store	book	ABBA	10213	31270
When Brian and Joshua went to the airport, Joshua gave a snack to	Brian	Joshua	airport	snack	ABBA	14468	29092
When Andrew and Daniel went to the school, Andrew gave a note to	Daniel	Andrew	school	note	BABA	10213	11116
When Matthew and Kenneth went to the office, Kenneth gave a drink to	Matthew	Kenneth	office	drink	ABBA	18322	31270
When Michael and Thomas went to the house, Thomas gave a ring to	Michael	Thomas	house	ring	ABBA	6277	7195
When Brian and Daniel went to the restaurant, Brian gave a ring to	Daniel	Brian	restaurant	ring	BABA	10213	14468
When John and George went to the store, John gave a bone to	George	John	store	bone	BABA	6086	2516
When Michael and William went to the office, Michael gave a ring to	William	Michael	office	ring	BABA	7252	6277
When Matthew and Andrew went to the school, Andrew gave a bone to	Matthew	Andrew	school	bone	ABBA	18322	11116
When Donald and Robert went to the hospital, Donald gave a drink to	Robert	Donald	hospital	drink	BABA	6911	10053
When Charles and William went to the restaurant, William gave a bone to	Charles	William	restaurant	bone	ABBA	8444	7252
When Christopher and Matthew went to the office, Christopher gave a snack to	Matthew	Christopher	office	snack	BABA	18322	19717
When Andrew and Robert went to the airport, Andrew gave a book to	Robert	Andrew	airport	book	BABA	6911	11116
When Christopher and Robert went to the airport, Robert gave a kiss to	Christopher	Robert	airport	kiss	ABBA	19717	6911
When Donald and Brian went to the church, Donald gave a drink to	Brian	Donald	church	drink	BABA	14468	10053
When Charles and Christopher went to the school, Christopher gave a present to	Charles	Christopher	school	present	ABBA	8444	19717
When Kenneth and Joshua went to the church, Kenneth gave a kiss to	Joshua	Kenneth	church	kiss	BABA	29092	31270
When David and James went to the hospital, David gave a drink to	James	David	hospital	drink	BABA	5490	5119
When Mary and Matthew went to the restaurant, Mary gave a snack to	Matthew	Mary	restaurant	snack	BABA	18322	6393
When Steven and Andrew went to the office, Steven gave a book to	Andrew	Steven	office	book	BABA	11116	19436
When Donald and Kenneth went to the hospital, Kenneth gave a snack to	Donald	Kenneth	hospital	snack	ABBA	10053	31270
When James and Daniel went to the hospital, Daniel gave a bone to	James	Daniel	hospital	bone	ABBA	5490	10213
When William and Kenneth went to the church, William gave a note to	Kenneth	William	church	note	BABA	31270	7252
When Daniel and Robert went to the restaurant, Robert gave a drink to	Daniel	Robert	restaurant	drink	ABBA	10213	6911
When Steven and Mark went to the hospital, Mark gave a kiss to	Steven	Mark	hospital	kiss	ABBA	19436	4744
When Matthew and Donald went to the office, Matthew gave a note to	Donald	Matthew	office	note	BABA	10053	18322
When John and Joshua went to the hospital, John gave a present to	Joshua	John	hospital	present	BABA	29092	2516
When David and Robert went to the airport, David gave a snack to	Robert	David	airport	snack	BABA	6911	5119
When Andrew and Daniel went to the school, Andrew gave a kiss to	Daniel	Andrew	school	kiss	BABA	10213	11116
When Donald and George went to the school, Donald gave a snack to	George	Donald	school	snack	BABA	6086	10053
When Joshua and Kevin went to the church, Kevin gave a book to	Joshua	Kevin	church	book	ABBA	29092	15273
When Kevin and Christopher went to the airport, Christopher gave a book to	Kevin	Christopher	airport	book	ABBA	15273	19717
When Joshua and Kevin went to the hospital, Kevin gave a note to	Joshua	Kevin	hospital	note	ABBA	29092	15273
When Christopher and Mary went to the house, Christopher gave a ring to	Mary	Christopher	house	ring	BABA	6393	19717
When John and Steven went to the school, Steven gave a bone to	John	Steven	school	bone	ABBA	2516	19436
When George and Michael went to the church, Michael gave a bone to	George	Michael	church	bone	ABBA	6086	6277
When Brian and Donald went to the restaurant, Donald gave a kiss to	Brian	Donald	restaurant	kiss	ABBA	14468	10053
When John and Steven went to the restaurant, John gave a note to	Steven	John	restaurant	note	BABA	19436	2516
When Michael and John went to the office, John gave a drink to	Michael	John	office	drink	ABBA	6277	2516
When Mark and Christopher went to the school, Christopher gave a present to	Mark	Christopher	school	present	ABBA	4744	19717
When Joshua and Mark went to the house, Mark gave a snack to	Joshua	Mark	house	snack	ABBA	29092	4744
When John and Steven went to the restaurant, John gave a kiss to	Steven	John	restaurant	kiss	BABA	19436	2516
When Edward and Anthony went to the hospital, Anthony gave a bone to	Edward	Anthony	hospital	bone	ABBA	12824	16358
When Andrew and George went to the church, George gave a book to	Andrew	George	church	book	ABBA	11116	6086
When George and Matthew went to the hospital, George gave a drink to	Matthew	George	hospital	drink	BABA	18322	6086
When Mary and Kevin went to the school, Mary gave a bone to	Kevin	Mary	school	bone	BABA	15273	6393
When Steven and Kenneth went to the office, Kenneth gave a ring to	Steven	Kenneth	office	ring	ABBA	19436	31270
When Donald and James went to the office, Donald gave a bone to	James	Donald	office	bone	BABA	5490	10053
When Matthew and Anthony went to the church, Matthew gave a drink to	Anthony	Matthew	church	drink	BABA	16358	18322
When William and Joshua went to the school, Joshua gave a note to	William	Joshua	school	note	ABBA	7252	29092
When Edward and Charles went to the house, Edward gave a drink to	Charles	Edward	house	drink	BABA	8444	12824
When John and Donald went to the church, Donald gave a present to	John	Donald	church	present	ABBA	2516	10053
When George and Donald went to the restaurant, George gave a present to	Donald	George	restaurant	present	BABA	10053	6086
When Daniel and Anthony went to the store, Anthony gave a book to	Daniel	Anthony	store	book	ABBA	10213	16358
When Matthew and Mark went to the store, Mark gave a kiss to	Matthew	Mark	store	kiss	ABBA	18322	4744
When Michael and Donald went to the store, Michael gave a drink to	Donald	Michael	store	drink	BABA	10053	6277
When George and Michael went to the house, Michael gave a kiss to	George	Michael	house	kiss	ABBA	6086	6277
When Brian and Andrew went to the house, Andrew gave a note to	Brian	Andrew	house	note	ABBA	14468	11116
When Donald and Matthew went to the restaurant, Donald gave a drink to	Matthew	Donald	restaurant	drink	BABA	18322	10053
When Brian and George went to the airport, Brian gave a ring to	George	Brian	airport	ring	BABA	6086	14468
When Joshua and Robert went to the office, Robert gave a present to	Joshua	Robert	office	present	ABBA	29092	6911
When Matthew and Charles went to the restaurant, Charles gave a note to	Matthew	Charles	restaurant	note	ABBA	18322	8444
When Matthew and John went to the airport, Matthew gave a ring to	John	Matthew	airport	ring	BABA	2516	18322
When Mark and David went to the house, Mark gave a kiss to	David	Mark	house	kiss	BABA	5119	4744
When Donald and John went to the office, Donald gave a drink to	John	Donald	office	drink	BABA	2516	10053
When Kevin and Steven went to the hospital, Kevin gave a note to	Steven	Kevin	hospital	note	BABA	19436	15273
When Joshua and James went to the church, Joshua gave a bone to	James	Joshua	church	bone	BABA	5490	29092
When Robert and Michael went to the church, Michael gave a snack to	Robert	Michael	church	snack	ABBA	6911	6277
When Robert and James went to the church, Robert gave a kiss to	James	Robert	church	kiss	BABA	5490	6911
When Robert and Anthony went to the school, Anthony gave a drink to	Robert	Anthony	school	drink	ABBA	6911	16358
When Mark and Anthony went to the church, Anthony gave a drink to	Mark	Anthony	church	drink	ABBA	4744	16358
When Donald and Christopher went to the office, Christopher gave a kiss to	Donald	Christopher	office	kiss	ABBA	10053	19717
When Daniel and James went to the restaurant, James gave a ring to	Daniel	James	restaurant	ring	ABBA	10213	5490
When Mary and Brian went to the house, Mary gave a ring to	Brian	Mary	house	ring	BABA	14468	6393
When Mary and William went to the hospital, Mary gave a ring to	William	Mary	hospital	ring	BABA	7252	6393
When James and George went to the school, George gave a note to	James	George	school	note	ABBA	5490	6086
When David and Mary went to the restaurant, David gave a drink to	Mary	David	restaurant	drink	BABA	6393	5119
When Charles and Daniel went to the store, Daniel gave a note to	Charles	Daniel	store	note	ABBA	8444	10213
When Michael and William went to the airport, William gave a kiss to	Michael	William	airport	kiss	ABBA	6277	7252
When Donald and Daniel went to the office, Daniel gave a present to	Donald	Daniel	office	present	ABBA	10053	10213
When Mary and David went to the house, David gave a ring to	Mary	David	house	ring	ABBA	6393	5119
When Donald and Charles went to the office, Charles gave a ring to	Donald	Charles	office	ring	ABBA	10053	8444
When William and Kenneth went to the restaurant, Kenneth gave a kiss to	William	Kenneth	restaurant	kiss	ABBA	7252	31270
When Kenneth and Andrew went to the office, Kenneth gave a present to	Andrew	Kenneth	office	present	BABA	11116	31270
When Matthew and Michael went to the school, Michael gave a note to	Matthew	Michael	school	note	ABBA	18322	6277
When Christopher and Steven went to the hospital, Steven gave a note to	Christopher	Steven	hospital	note	ABBA	19717	19436
When Charles and William went to the house, Charles gave a snack to	William	Charles	house	snack	BABA	7252	8444
When John and Kevin went to the school, John gave a drink to	Kevin	John	school	drink	BABA	15273	2516
When James and Matthew went to the restaurant, James gave a present to	Matthew	James	restaurant	present	BABA	18322	5490
When Charles and Anthony went to the church, Charles gave a present to	Anthony	Charles	church	present	BABA	16358	8444
When Anthony and Kenneth went to the office, Anthony gave a ring to	Kenneth	Anthony	office	ring	BABA	31270	16358
When James and Joseph went to the airport, Joseph gave a ring to	James	Joseph	airport	ring	ABBA	5490	10092
When Steven and Joshua went to the store, Steven gave a snack to	Joshua	Steven	store	snack	BABA	29092	19436
When Anthony and Mary went to the church, Mary gave a ring to	Anthony	Mary	church	ring	ABBA	16358	6393
When Mark and David went to the house, David gave a bone to	Mark	David	house	bone	ABBA	4744	5119
When James and Donald went to the school, James gave a kiss to	Donald	James	school	kiss	BABA	10053	5490
When Thomas and Robert went to the school, Robert gave a book to	Thomas	Robert	school	book	ABBA	7195	6911
When William and Matthew went to the church, William gave a snack to	Matthew	William	church	snack	BABA	18322	7252
When Joseph and William went to the airport, Joseph gave a ring to	William	Joseph	airport	ring	BABA	7252	10092
When Steven and Michael went to the house, Michael gave a book to	Steven	Michael	house	book	ABBA	19436	6277
When James and Joshua went to the airport, James gave a note to	Joshua	James	airport	note	BABA	29092	5490
When Mary and Charles went to the airport, Mary gave a book to	Charles	Mary	airport	book	BABA	8444	6393
When Mary and David went to the office, David gave a kiss to	Mary	David	office	kiss	ABBA	6393	5119
When Joshua and Charles went to the school, Charles gave a snack to	Joshua	Charles	school	snack	ABBA	29092	8444
When Donald and Brian went to the restaurant, Donald gave a book to	Brian	Donald	restaurant	book	BABA	14468	10053
When Joseph and Andrew went to the church, Andrew gave a bone to	Joseph	Andrew	church	bone	ABBA	10092	11116
When Mary and Joshua went to the restaurant, Mary gave a bone to	Joshua	Mary	restaurant	bone	BABA	29092	6393
When John and Kevin went to the store, John gave a bone to	Kevin	John	store	bone	BABA	15273	2516
When Matthew and Steven went to the church, Steven gave a book to	Matthew	Steven	church	book	ABBA	18322	19436
When Robert and Edward went to the office, Edward gave a ring to	Robert	Edward	office	ring	ABBA	6911	12824
When Kevin and Charles went to the hospital, Kevin gave a kiss to	Charles	Kevin	hospital	kiss	BABA	8444	15273
When James and John went to the office, James gave a bone to	John	James	office	bone	BABA	2516	5490
When Christopher and Andrew went to the restaurant, Christopher gave a note to	Andrew	Christopher	restaurant	note	BABA	11116	19717
When William and James went to the church, James gave a bone to	William	James	church	bone	ABBA	7252	5490
When Charles and Steven went to the school, Steven gave a note to	Charles	Steven	school	note	ABBA	8444	19436
When Andrew and Robert went to the church, Robert gave a snack to	Andrew	Robert	church	snack	ABBA	11116	6911
When Thomas and Edward went to the office, Thomas gave a book to	Edward	Thomas	office	book	BABA	12824	7195
When Daniel and Kenneth went to the school, Kenneth gave a present to	Daniel	Kenneth	school	present	ABBA	10213	31270
When Robert and Brian went to the restaurant, Brian gave a snack to	Robert	Brian	restaurant	snack	ABBA	6911	14468
When Matthew and Kenneth went to the airport, Kenneth gave a present to	Matthew	Kenneth	airport	present	ABBA	18322	31270
When Andrew and Kevin went to the office, Kevin gave a ring to	Andrew	Kevin	office	ring	ABBA	11116	15273
When Joshua and Donald went to the church, Donald gave a note to	Joshua	Donald	church	note	ABBA	29092	10053
When Brian and Donald went to the house, Brian gave a book to	Donald	Brian	house	book	BABA	10053	14468
When Joshua and John went to the airport, John gave a bone to	Joshua	John	airport	bone	ABBA	29092	2516
When Edward and Michael went to the airport, Edward gave a drink to	Michael	Edward	airport	drink	BABA	6277	12824
When George and David went to the store, David gave a ring to	George	David	store	ring	ABBA	6086	5119
When Donald and Matthew went to the store, Matthew gave a kiss to	Donald	Matthew	store	kiss	ABBA	10053	18322
When James and Kevin went to the church, James gave a drink to	Kevin	James	church	drink	BABA	15273	5490
When Daniel and John went to the restaurant, John gave a drink to	Daniel	John	restaurant	drink	ABBA	10213	2516
When Joshua and Thomas went to the office, Joshua gave a note to	Thomas	Joshua	office	note	BABA	7195	29092
When Kenneth and Michael went to the office, Kenneth gave a note to	Michael	Kenneth	office	note	BABA	6277	31270
When Anthony and Robert went to the airport, Anthony gave a ring to	Robert	Anthony	airport	ring	BABA	6911	16358
When William and Matthew went to the house, William gave a snack to	Matthew	William	house	snack	BABA	18322	7252
When Kevin and Joshua went to the church, Kevin gave a present to	Joshua	Kevin	church	present	BABA	29092	15273
When Mark and Brian went to the school, Brian gave a ring to	Mark	Brian	school	ring	ABBA	4744	14468
When David and Michael went to the school, David gave a book to	Michael	David	school	book	BABA	6277	5119
When Matthew and Daniel went to the church, Matthew gave a book to	Daniel	Matthew	church	book	BABA	10213	18322
When Matthew and Edward went to the hospital, Edward gave a note to	Matthew	Edward	hospital	note	ABBA	18322	12824
When David and Mark went to the store, David gave a snack to	Mark	David	store	snack	BABA	4744	5119
When John and Joseph went to the restaurant, Joseph gave a present to	John	Joseph	restaurant	present	ABBA	2516	10092
When John and Daniel went to the school, John gave a note to	Daniel	John	school	note	BABA	10213	2516
When Charles and George went to the restaurant, Charles gave a bone to	George	Charles	restaurant	bone	BABA	6086	8444
When Anthony and Daniel went to the airport, Anthony gave a drink to	Daniel	Anthony	airport	drink	BABA	10213	16358
When Joshua and Brian went to the church, Brian gave a book to	Joshua	Brian	church	book	ABBA	29092	14468
When Donald and Thomas went to the airport, Thomas gave a note to	Donald	Thomas	airport	note	ABBA	10053	7195
When Christopher and Thomas went to the store, Thomas gave a drink to	Christopher	Thomas	store	drink	ABBA	19717	7195
When John and William went to the house, William gave a drink to	John	William	house	drink	ABBA	2516	7252
When Charles and Joshua went to the store, Joshua gave a present to	Charles	Joshua	store	present	ABBA	8444	29092
When Anthony and James went to the hospital, Anthony gave a snack to	James	Anthony	hospital	snack	BABA	5490	16358
When Joseph and Andrew went to the airport, Joseph gave a note to	Andrew	Joseph	airport	note	BABA	11116	10092
When Christopher and George went to the restaurant, George gave a kiss to	Christopher	George	restaurant	kiss	ABBA	19717	6086
When Andrew and Christopher went to the airport, Andrew gave a ring to	Christopher	Andrew	airport	ring	BABA	19717	11116
When Thomas and Mary went to the store, Mary gave a note to	Thomas	Mary	store	note	ABBA	7195	6393
When James and Daniel went to the hospital, James gave a ring to	Daniel	James	hospital	ring	BABA	10213	5490
When David and Thomas went to the office, Thomas gave a bone to	David	Thomas	office	bone	ABBA	5119	7195
When Steven and Matthew went to the office, Matthew gave a book to	Steven	Matthew	office	book	ABBA	19436	18322
When Brian and Daniel went to the hospital, Brian gave a drink to	Daniel	Brian	hospital	drink	BABA	10213	14468
When Charles and Andrew went to the restaurant, Andrew gave a drink to	Charles	Andrew	restaurant	drink	ABBA	8444	11116
When Donald and Mark went to the airport, Donald gave a drink to	Mark	Donald	airport	drink	BABA	4744	10053
When Anthony and Donald went to the airport, Donald gave a book to	Anthony	Donald	airport	book	ABBA	16358	10053
When James and Robert went to the restaurant, James gave a note to	Robert	James	restaurant	note	BABA	6911	5490
When Robert and Michael went to the church, Michael gave a note to	Robert	Michael	church	note	ABBA	6911	6277
When George and Mark went to the restaurant, George gave a snack to	Mark	George	restaurant	snack	BABA	4744	6086
When Matthew and Andrew went to the store, Matthew gave a present to	Andrew	Matthew	store	present	BABA	11116	18322
When Donald and Joseph went to the hospital, Donald gave a present to	Joseph	Donald	hospital	present	BABA	10092	10053
When Thomas and Daniel went to the house, Daniel gave a snack to	Thomas	Daniel	house	snack	ABBA	7195	10213
When Robert and Andrew went to the office, Andrew gave a note to	Robert	Andrew	office	note	ABBA	6911	11116
When Charles and Brian went to the airport, Charles gave a book to	Brian	Charles	airport	book	BABA	14468	8444
When Joshua and Andrew went to the office, Joshua gave a bone to	Andrew	Joshua	office	bone	BABA	11116	29092
When Joseph and Mary went to the restaurant, Mary gave a kiss to	Joseph	Mary	restaurant	kiss	ABBA	10092	6393
